id,label,timeset,state,totalMig,totalNonMig,population,unemployment
13255,Spalding County,,GA,4877,57698,62575,6.2
13257,Stephens County,,GA,1803,25201,27004,5.8
13259,Stewart County,,GA,376,4999,5375,7.2
13261,Sumter County,,GA,2044,32777,34821,5.5
13263,Talbot County,,GA,454,7624,8078,5.8
13265,Taliaferro County,,GA,148,1701,1849,7.5
13267,Tattnall County,,GA,1155,18042,19197,4.9
13269,Taylor County,,GA,547,9421,9968,6.0
13271,Telfair County,,GA,768,11243,12011,8.4
13273,Terrell County,,GA,741,11215,11956,5.2
13275,Thomas County,,GA,2748,43444,46192,4.3
13277,Tift County,,GA,2482,39301,41783,4.3
13279,Toombs County,,GA,1486,23162,24648,6.0
13281,Towns County,,GA,677,9907,10584,3.6
13283,Treutlen County,,GA,399,6137,6536,6.8
13285,Troup County,,GA,3572,62575,66147,5.3
13287,Turner County,,GA,610,9925,10535,6.3
13289,Twiggs County,,GA,832,10579,11411,5.2
13291,Union County,,GA,1105,18288,19393,4.2
13293,Upson County,,GA,1380,27319,28699,6.2
13295,Walker County,,GA,4502,64177,68679,4.2
